policy,benchmark,working_set_kb,l2_size,l2_assoc,misses,accesses,insts,mpki,miss_rate,sim_seconds
BRRIP,chase,128,32768,8,3931,3004081,7709900,0.5099,0.001309,0.017297
BRRIP,chase,256,32768,8,6228,3006799,7779161,0.8006,0.002071,0.017498
BRRIP,chase,512,32768,8,10836,3014028,7918438,1.3685,0.003595,0.017913
BRRIP,chase,768,32768,8,15459,3022059,8057830,1.9185,0.005115,0.018326
BRRIP,chase,1024,32768,8,25020,3030778,8197112,3.0523,0.008255,0.019089
BRRIP,chase,1152,32768,8,779862,3035119,8266733,94.3374,0.256946,0.069906
BRRIP,chase,1280,32768,8,1218365,3039525,8336428,146.1495,0.400841,0.100026
BRRIP,chase,1408,32768,8,1637669,3043977,8405997,194.8215,0.538003,0.128888
BRRIP,chase,1536,32768,8,2039473,3048414,8475629,240.6279,0.669028,0.156382
BRRIP,chase,1664,32768,8,2419841,3052973,8545388,283.1751,0.792618,0.182884
BRRIP,chase,1792,32768,8,2738870,3057600,8615020,317.918,0.895758,0.204820
BRRIP,chase,2048,32768,8,2986431,3066569,8754220,341.1419,0.973867,0.222519
BRRIP,chase,2304,32768,8,3035043,3076018,8893484,341.2659,0.986679,0.226467
BRRIP,chase,2560,32768,8,3039991,3085316,9032748,336.5522,0.985309,0.227307
BRRIP,chase,2816,32768,8,3052842,3094761,9172076,332.8409,0.986455,0.228696
BRRIP,chase,3072,32768,8,3060574,3104094,9311276,328.6954,0.98598,0.229685
BRRIP,chase,4096,32768,8,3078944,3141771,9868396,312.0005,0.980003,0.232125
BRRIP,chase,8192,32768,8,3165162,3294586,12096684,261.6553,0.960716,0.241186
BRRIP,chase,16384,32768,8,3397180,3603076,16553279,205.227,0.942855,0.261700
LRU,chase,128,32768,8,3931,3004081,7709900,0.5099,0.001309,0.017297
LRU,chase,256,32768,8,6228,3006799,7779161,0.8006,0.002071,0.017498
LRU,chase,512,32768,8,10836,3014028,7918438,1.3685,0.003595,0.017913
LRU,chase,768,32768,8,15444,3022059,8057830,1.9166,0.00511,0.018326
LRU,chase,1024,32768,8,28329,3030778,8197112,3.456,0.009347,0.019340
LRU,chase,1152,32768,8,3017575,3035119,8266733,365.0263,0.99422,0.220764
