policy,benchmark,working_set_kb,l2_size,l2_assoc,misses,accesses,insts,mpki,miss_rate,sim_seconds
BRRIP,chase,128,32768,8,231,1481680,3709899,0.0623,0.000156,0.008402
BRRIP,chase,256,32768,8,216,1509485,3779160,0.0572,0.000143,0.008559
BRRIP,chase,512,32768,8,216,1565196,3918437,0.0551,0.000138,0.008875
BRRIP,chase,768,32768,8,216,1620902,4057829,0.0532,0.000133,0.009190
BRRIP,chase,1024,32768,8,278,1676615,4197111,0.0662,0.000166,0.009509
BRRIP,chase,1152,32768,8,431523,1704483,4266732,101.1367,0.253169,0.038691
BRRIP,chase,1280,32768,8,689826,1732336,4336427,159.077,0.398206,0.056587
BRRIP,chase,1408,32768,8,944059,1760189,4405996,214.2669,0.53634,0.074163
BRRIP,chase,1536,32768,8,1201055,1788042,4475628,268.3545,0.671715,0.091881
BRRIP,chase,1664,32768,8,1444582,1815895,4545387,317.8128,0.795521,0.108888
BRRIP,chase,1792,32768,8,1665215,1843747,4615019,360.8252,0.903169,0.124202
BRRIP,chase,2048,32768,8,1869627,1899453,4754219,393.2564,0.984298,0.138903
BRRIP,chase,2304,32768,8,1951937,1955159,4893483,398.885,0.998352,0.145181
BRRIP,chase,2560,32768,8,2009863,2010864,5032747,399.3571,0.999502,0.149730
BRRIP,chase,2816,32768,8,2066164,2066570,5172075,399.4845,0.999804,0.154182
BRRIP,chase,3072,32768,8,2122051,2122275,5311275,399.537,0.999894,0.158584
BRRIP,chase,4096,32768,8,2345096,2345098,5868395,399.6145,0.999999,0.175803
BRRIP,chase,8192,32768,8,3055623,3055624,8096683,377.392,1.0,0.230620
BRRIP,chase,16384,32768,8,3294145,3390624,12553278,262.4131,0.971545,0.252216
LRU,chase,128,32768,8,231,1481680,3709899,0.0623,0.000156,0.008402
LRU,chase,256,32768,8,216,1509485,3779160,0.0572,0.000143,0.008559
LRU,chase,512,32768,8,216,1565196,3918437,0.0551,0.000138,0.008875
LRU,chase,768,32768,8,216,1620902,4057829,0.0532,0.000133,0.009190
LRU,chase,1024,32768,8,278,1676615,4197111,0.0662,0.000166,0.009512
